源IP,目标IP,流量类型,是否在白名单,应用的规则,检测时间,用户代理,URL
70.226.158.209,192.168.1.1,视频流量,True,,2025-08-16 07:31:02,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/4.1),app
148.49.204.51,192.168.1.1,恶意流量,True,规则1,2025-08-15 12:12:02,Opera/8.82.(Windows NT 6.1; sv-SE) Presto/2.9.188 Version/12.00,category
223.112.13.93,192.168.1.1,视频流量,True,,2025-08-15 13:01:02,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/18.7r2023.0 Mobile/23T821 Safari/534.1",app
123.181.76.250,192.168.1.1,HTTP,True,规则1,2025-08-16 09:35:02,Opera/8.92.(X11; Linux x86_64; ast-ES) Presto/2.9.165 Version/10.00,app
84.233.16.200,192.168.1.1,恶意流量,True,规则2,2025-08-15 11:59:02,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; zu-ZA) AppleWebKit/535.17.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6535.17.6",wp-content
157.234.65.15,192.168.1.1,HTTP,False,规则2,2025-08-15 23:15:02,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/43.0.861.0 Safari/535.0",wp-content/app
30.141.200.4,192.168.1.1,视频流量,True,规则2,2025-08-15 21:04:02,Mozilla/5.0 (Windows NT 5.01; ha-NG; rv:1.9.2.20) Gecko/4705-04-04 06:01:09 Firefox/3.8,categories/wp-content/wp-content
121.43.170.132,192.168.1.1,DNS,True,规则1,2025-08-15 23:50:02,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.18.6 (KHTML, like Gecko) Version/4.0.2 Safari/532.18.6",blog/app
146.100.226.235,192.168.1.1,HTTP,False,,2025-08-15 21:28:02,Opera/8.38.(X11; Linux i686; pl-PL) Presto/2.9.182 Version/11.00,tag/tag/categories
18.67.243.64,192.168.1.1,HTTPS,True,,2025-08-15 21:22:02,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; li-BE) AppleWebKit/534.34.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.34.6",app/category/explore
188.24.222.148,192.168.1.1,HTTPS,True,规则2,2025-08-16 04:35:02,Mozilla/5.0 (Windows NT 6.0; kw-GB; rv:1.9.1.20) Gecko/7119-12-21 04:55:08 Firefox/3.6.3,main/tags
