timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,packets_per_second,bytes_per_packet,bytes_per_second,is_weekend,hour_of_day,label
2025-12-06 21:33:35.720571,10.70.93.216,172.16.16.155,15082,53,TCP,447,9110,67.76,6.6,20.38,134.45,1,16,Normal
2025-12-07 03:04:49.670668,10.113.145.185,172.16.25.73,19275,993,UDP,154,86799,188.63,0.82,563.63,460.14,1,13,Normal
2025-12-07 01:07:35.654402,10.55.100.36,74.190.24.203,15545,161,UDP,153,61403,147.21,1.04,401.33,417.11,0,3,Normal
2025-12-07 07:52:54.714281,172.16.17.10,172.16.28.36,43001,587,UDP,335,12417,141.71,2.36,37.07,87.62,1,7,Normal
2025-12-06 16:01:00.754204,99.158.128.155,172.16.19.9,15252,53,UDP,277,122048,35.04,7.91,440.61,3483.53,1,15,Malware
2025-12-07 12:42:02.652293,192.168.128.50,96.157.99.223,28840,143,ICMP,42,89855,279.15,0.15,2139.4,321.89,1,12,Normal
2025-12-07 15:21:48.670668,192.168.120.54,174.17.161.77,7450,22,ICMP,440,40134,286.57,1.54,91.21,140.05,1,20,Normal
2025-12-06 18:46:56.646670,172.16.20.246,10.98.53.22,63189,993,UDP,791,72317,97.16,8.14,91.42,744.32,0,23,Normal
2025-12-06 20:35:18.698419,172.16.17.37,112.77.243.242,63941,162,UDP,35,30020,123.42,0.28,857.71,243.23,1,21,Normal
2025-12-07 11:13:25.662196,172.16.18.152,192.168.13.67,43364,8000,TCP,363,80985,35.39,10.26,223.1,2288.06,0,14,Normal
2025-12-07 08:25:43.723561,195.196.46.136,172.16.20.186,31950,3000,TCP,98479,21551115,25.65,3839.69,218.84,840276.47,1,11,DDoS
2025-12-06 17:48:00.746533,168.100.194.179,192.168.202.19,25050,443,TCP,30,1182,25.31,1.19,39.4,46.71,0,12,SQL_Injection
2025-12-07 12:42:42.690748,192.168.196.181,10.116.130.149,28885,161,ICMP,647,75041,251.92,2.57,115.98,297.87,1,23,Normal
2025-12-07 02:42:06.688486,172.16.27.104,185.227.75.182,27986,23,ICMP,767,856,107.65,7.12,1.12,7.95,0,0,Normal
2025-12-07 03:35:42.649835,10.162.76.8,91.177.4.27,26005,23,TCP,391,46588,118.75,3.29,119.15,392.32,1,22,Normal
2025-12-07 09:11:22.655410,192.168.70.6,200.99.164.21,60373,587,UDP,378,12509,153.92,2.46,33.09,81.27,1,7,Normal
2025-12-06 20:01:42.744429,210.137.155.146,10.167.47.180,37131,25,TCP,32,2220,59.81,0.54,69.38,37.12,1,7,SQL_Injection
2025-12-07 08:12:02.747590,150.130.135.44,10.95.203.130,37776,995,TCP,95,5599,58.19,1.63,58.94,96.22,1,11,SQL_Injection
2025-12-07 08:31:49.716311,192.168.40.81,152.231.144.167,41492,53,ICMP,514,96366,270.26,1.9,187.48,356.57,0,1,Normal
2025-12-07 15:14:08.730539,166.124.22.180,10.155.189.168,33160,6144,TCP,629,34776,240.84,2.61,55.29,144.4,0,3,Port_Scan
2025-12-06 22:14:53.745474,57.36.49.173,172.16.23.155,11246,110,TCP,56,1961,27.78,2.02,35.02,70.59,1,10,SQL_Injection
